customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
AA-103151,9,5,1445.0,5,3,3,533,Potential Loyalist
AA-103152,14,7,6105.0,5,4,5,545,Champions
AA-103153,695,2,633.0,1,1,2,112,Lost
AA-103154,185,5,5565.0,2,3,5,235,Can't Lose Them
AA-103751,7,4,2407.0,5,2,3,523,Others
AA-103752,318,3,560.0,2,1,2,212,At Risk
AA-103753,35,7,1861.0,4,4,3,443,Loyal Customers
AA-103754,20,9,1056.0,5,5,2,552,Loyal Customers
AA-104801,126,5,5946.0,3,3,5,335,Potential Loyalist
AA-104802,230,7,5253.0,2,4,5,245,Can't Lose Them
AA-104803,237,4,4704.0,2,2,5,225,Can't Lose Them
AA-104804,260,4,1792.0,2,2,3,223,At Risk
AA-106451,29,12,5264.0,5,5,5,555,Champions
AA-106452,234,9,2730.0,2,5,4,254,Can't Lose Them
AA-106453,56,9,2263.0,4,5,3,453,Loyal Customers
AA-106454,56,6,5087.0,4,3,5,435,Potential Loyalist
AA-3151,154,1,11.0,2,1,1,211,At Risk
AA-3152,3,6,2234.0,5,3,3,533,Potential Loyalist
AA-3751,300,4,365.0,2,2,1,221,At Risk
AA-3752,826,1,27.0,1,1,1,111,Lost
AA-3753,254,3,261.0,2,1,1,211,At Risk
AA-4801,876,2,496.0,1,1,1,111,Lost
AA-4802,938,1,1085.0,1,1,2,112,Lost
AA-4803,315,2,482.0,2,1,1,211,At Risk
AA-6451,61,8,1503.0,4,4,3,443,Loyal Customers
AA-6452,52,3,465.0,4,1,1,411,Others
AB-100151,114,9,10662.0,3,5,5,355,Potential Loyalist
AB-100152,253,12,6116.0,2,5,5,255,Can't Lose Them
AB-100153,17,8,2375.0,5,4,3,543,Loyal Customers
AB-100154,416,3,887.0,1,1,2,112,Lost
AB-100601,82,9,2107.0,3,5,3,353,Potential Loyalist
AB-100602,227,5,3345.0,2,3,4,234,Can't Lose Them
AB-100603,43,10,5210.0,4,5,5,455,Champions
AB-100604,55,8,7708.0,4,4,5,445,Champions
AB-101051,217,7,4309.0,2,4,5,245,Can't Lose Them
AB-101052,28,6,2949.0,5,3,4,534,Potential Loyalist
AB-101053,33,10,1234.0,5,5,2,552,Loyal Customers
AB-101054,42,10,14476.0,4,5,5,455,Champions
AB-101501,111,4,429.0,3,2,1,321,Others
AB-101502,104,6,9139.0,3,3,5,335,Potential Loyalist
AB-101503,36,9,2523.0,4,5,3,453,Loyal Customers
AB-101504,42,5,969.0,4,3,2,432,Potential Loyalist
AB-101651,390,5,3435.0,1,3,4,134,Can't Lose Them
AB-101652,14,11,6437.0,5,5,5,555,Champions
AB-101653,61,5,668.0,4,3,2,432,Potential Loyalist
AB-101654,26,8,1114.0,5,4,2,542,Loyal Customers
AB-102551,191,7,4277.0,2,4,5,245,Can't Lose Them
AB-102552,257,6,949.0,2,3,2,232,At Risk
AB-102553,6,9,4644.0,5,5,5,555,Champions
AB-102554,167,9,914.0,2,5,2,252,Can't Lose Them
AB-1051,403,2,97.0,1,1,1,111,Lost
AB-1052,231,1,64.0,2,1,1,211,At Risk
AB-1053,44,4,1996.0,4,2,3,423,Others
AB-106001,241,9,7148.0,2,5,5,255,Can't Lose Them
AB-106002,338,6,4276.0,2,3,5,235,Can't Lose Them
AB-106003,85,3,377.0,3,1,1,311,Others
AB-106004,51,4,1515.0,4,2,3,423,Others
AB-1501,399,4,3145.0,1,2,4,124,Can't Lose Them
AB-151,413,2,2125.0,1,1,3,113,At Risk
AB-152,504,3,2481.0,1,1,3,113,At Risk
AB-1651,31,1,160.0,5,1,1,511,Others
AB-1652,710,1,411.0,1,1,1,111,Lost
AB-1653,17,4,828.0,5,2,2,522,Others
AB-2551,175,5,4083.0,2,3,4,234,Can't Lose Them
AB-2552,44,1,283.0,4,1,1,411,Others
AB-2553,121,2,313.0,3,1,1,311,Others
AB-6001,8,3,1384.0,5,1,3,513,Others
AB-6002,876,2,4027.0,1,1,4,114,Can't Lose Them
AB-601,36,3,1483.0,4,1,3,413,Others
AB-602,134,6,287.0,3,3,1,331,Potential Loyalist
AC-104201,220,5,4086.0,2,3,4,234,Can't Lose Them
AC-104202,463,7,1033.0,1,4,2,142,Can't Lose Them
AC-104203,7,9,4561.0,5,5,5,555,Champions
AC-104204,233,3,926.0,2,1,2,212,At Risk
AC-104501,9,5,7610.0,5,3,5,535,Potential Loyalist
AC-104502,6,4,2295.0,5,2,3,523,Others
AC-104503,197,3,694.0,2,1,2,212,At Risk
AC-104504,12,7,5529.0,5,4,5,545,Champions
AC-106151,13,11,5753.0,5,5,5,555,Champions
AC-106152,41,5,2738.0,4,3,4,434,Potential Loyalist
AC-106153,37,8,1699.0,4,4,3,443,Loyal Customers
AC-106154,7,5,2538.0,5,3,4,534,Potential Loyalist
AC-106601,64,4,1175.0,4,2,2,422,Others
AC-106602,152,6,2234.0,3,3,3,333,Potential Loyalist
AC-106603,3,6,2189.0,5,3,3,533,Potential Loyalist
AC-106604,283,5,658.0,2,3,2,232,At Risk
AC-4201,14,6,841.0,5,3,2,532,Potential Loyalist
AC-4202,387,3,849.0,1,1,2,112,Lost
AC-4501,337,3,670.0,2,1,2,212,At Risk
AC-4502,920,2,147.0,1,1,1,111,Lost
AC-4503,182,2,210.0,2,1,1,211,At Risk
AC-6151,510,3,1706.0,1,1,3,113,At Risk
AC-6152,93,4,593.0,3,2,2,322,Others
AC-6601,120,3,2666.0,3,1,4,314,Others
AC-6602,413,1,10.0,1,1,1,111,Lost
AD-101801,93,8,9209.0,3,4,5,345,Potential Loyalist
AD-101802,377,5,1001.0,1,3,2,132,At Risk
AD-101803,332,6,1541.0,2,3,3,233,At Risk
AD-101804,30,8,6106.0,5,4,5,545,Champions
AD-1801,197,1,12.0,2,1,1,211,At Risk
AD-1802,6,2,669.0,5,1,2,512,Others
AF-108701,7,14,10793.0,5,5,5,555,Champions
AF-108702,106,6,7808.0,3,3,5,335,Potential Loyalist
AF-108703,427,9,5832.0,1,5,5,155,Can't Lose Them
AF-108704,42,7,2052.0,4,4,3,443,Loyal Customers
AF-108851,77,10,8347.0,4,5,5,455,Champions
AF-108852,163,13,5880.0,2,5,5,255,Can't Lose Them
AF-108853,54,8,4621.0,4,4,5,445,Champions
AF-108854,416,4,862.0,1,2,2,122,Lost
AF-8701,13,4,672.0,5,2,2,522,Others
AF-8702,766,1,125.0,1,1,1,111,Lost
AF-8703,6,4,901.0,5,2,2,522,Others
AF-8851,204,1,139.0,2,1,1,211,At Risk
AF-8852,168,1,215.0,2,1,1,211,At Risk
AG-102701,66,7,4771.0,4,4,5,445,Champions
AG-102702,197,4,1663.0,2,2,3,223,At Risk
AG-102703,41,9,1622.0,4,5,3,453,Loyal Customers
AG-102704,279,5,2584.0,2,3,4,234,Can't Lose Them
AG-103001,28,5,3212.0,5,3,4,534,Potential Loyalist
AG-103002,73,7,6071.0,4,4,5,445,Champions
AG-103003,3,8,3364.0,5,4,4,544,Champions
AG-103004,119,4,367.0,3,2,1,321,Others
AG-103301,173,5,4208.0,2,3,4,234,Can't Lose Them
AG-103302,150,9,3590.0,3,5,4,354,Potential Loyalist
AG-103303,183,10,6078.0,2,5,5,255,Can't Lose Them
AG-103304,9,5,662.0,5,3,2,532,Potential Loyalist
AG-103901,241,2,2228.0,2,1,3,213,At Risk
AG-103902,414,4,2646.0,1,2,4,124,Can't Lose Them
AG-103903,190,8,3380.0,2,4,4,244,Can't Lose Them
AG-103904,115,5,201.0,3,3,1,331,Potential Loyalist
AG-104951,168,6,3451.0,2,3,4,234,Can't Lose Them
AG-104952,129,11,7461.0,3,5,5,355,Potential Loyalist
AG-104953,201,4,2110.0,2,2,3,223,At Risk
AG-104954,79,8,2356.0,3,4,3,343,Potential Loyalist
AG-105251,135,3,324.0,3,1,1,311,Others
AG-105252,38,8,4071.0,4,4,4,444,Loyal Customers
AG-105253,13,5,2620.0,5,3,4,534,Potential Loyalist
AG-105254,846,4,1455.0,1,2,3,123,At Risk
AG-106751,770,3,3644.0,1,1,4,114,Can't Lose Them
AG-106752,48,7,2284.0,4,4,3,443,Loyal Customers
AG-106753,401,4,3606.0,1,2,4,124,Can't Lose Them
AG-106754,98,7,3489.0,3,4,4,344,Potential Loyalist
AG-107651,377,4,1586.0,1,2,3,123,At Risk
AG-107652,93,6,2159.0,3,3,3,333,Potential Loyalist
AG-107653,29,13,5913.0,5,5,5,555,Champions
AG-107654,78,4,170.0,3,2,1,321,Others
AG-109001,118,8,5035.0,3,4,5,345,Potential Loyalist
AG-109002,373,8,3108.0,1,4,4,144,Can't Lose Them
AG-109003,58,3,2276.0,4,1,3,413,Others
AG-109004,97,10,4511.0,3,5,5,355,Potential Loyalist
AG-2701,164,5,1997.0,2,3,3,233,At Risk
AG-2702,520,1,296.0,1,1,1,111,Lost
AG-2703,14,2,486.0,5,1,1,511,Others
AG-3001,146,2,866.0,3,1,2,312,Others
AG-3002,99,4,835.0,3,2,2,322,Others
AG-3301,3,6,513.0,5,3,1,531,Potential Loyalist
AG-3302,15,1,20.0,5,1,1,511,Others
AG-3901,1121,2,414.0,1,1,1,111,Lost
AG-3902,113,2,59.0,3,1,1,311,Others
AG-4951,206,3,469.0,2,1,1,211,At Risk
AG-4952,49,2,52.0,4,1,1,411,Others
AG-4953,70,6,482.0,4,3,1,431,Potential Loyalist
AG-5251,16,6,802.0,5,3,2,532,Potential Loyalist
AG-5252,729,1,2067.0,1,1,3,113,At Risk
AG-6751,174,6,774.0,2,3,2,232,At Risk
AG-6752,271,4,1595.0,2,2,3,223,At Risk
AG-7651,580,4,769.0,1,2,2,122,Lost
AG-7652,115,4,1090.0,3,2,2,322,Others
AG-9001,24,4,1698.0,5,2,3,523,Others
AH-100301,411,6,4154.0,1,3,4,134,Can't Lose Them
AH-100302,29,8,3973.0,5,4,4,544,Champions
AH-100303,159,6,4568.0,2,3,5,235,Can't Lose Them
AH-100304,13,7,1744.0,5,4,3,543,Loyal Customers
AH-100751,3,9,7291.0,5,5,5,555,Champions
AH-100752,31,9,4526.0,5,5,5,555,Champions
AH-100753,231,6,3044.0,2,3,4,234,Can't Lose Them
AH-100754,35,10,3251.0,4,5,4,454,Champions
AH-101201,472,3,558.0,1,1,2,112,Lost
AH-101202,114,6,3590.0,3,3,4,334,Potential Loyalist
AH-101203,307,6,4044.0,2,3,4,234,Can't Lose Them
AH-101204,61,7,1736.0,4,4,3,443,Loyal Customers
AH-101951,50,6,3839.0,4,3,4,434,Potential Loyalist
AH-101952,93,9,1833.0,3,5,3,353,Potential Loyalist
AH-101953,52,6,5370.0,4,3,5,435,Potential Loyalist
AH-101954,56,4,1588.0,4,2,3,423,Others
AH-102101,471,2,1111.0,1,1,2,112,Lost
AH-102102,103,11,7417.0,3,5,5,355,Potential Loyalist
AH-102103,8,12,7031.0,5,5,5,555,Champions
AH-102104,7,9,4805.0,5,5,5,555,Champions
AH-104651,87,6,2183.0,3,3,3,333,Potential Loyalist
AH-104652,481,2,251.0,1,1,1,111,Lost
AH-104653,71,7,3621.0,4,4,4,444,Loyal Customers
AH-104654,231,5,2495.0,2,3,3,233,At Risk
AH-105851,188,9,6205.0,2,5,5,255,Can't Lose Them
AH-105852,184,5,1615.0,2,3,3,233,At Risk
AH-105853,399,4,567.0,1,2,2,122,Lost
AH-105854,22,4,738.0,5,2,2,522,Others
AH-106901,146,6,4163.0,3,3,4,334,Potential Loyalist
AH-106902,31,9,3514.0,5,5,4,554,Champions
AH-106903,380,4,710.0,1,2,2,122,Lost
AH-106904,411,12,7889.0,1,5,5,155,Can't Lose Them
AH-1201,600,3,1476.0,1,1,3,113,At Risk
AH-1202,22,1,2.0,5,1,1,511,Others
AH-1951,1052,2,80.0,1,1,1,111,Lost
AH-1952,1241,1,88.0,1,1,1,111,Lost
AH-1953,279,6,2483.0,2,3,3,233,At Risk
AH-2101,881,2,3090.0,1,1,4,114,Can't Lose Them
AH-2102,458,2,187.0,1,1,1,111,Lost
AH-301,469,4,5072.0,1,2,5,125,Can't Lose Them
AH-302,577,3,1248.0,1,1,2,112,Lost
AH-4651,242,2,540.0,2,1,1,211,At Risk
AH-4652,799,2,112.0,1,1,1,111,Lost
AH-5851,219,2,889.0,2,1,2,212,At Risk
AH-5852,76,7,1343.0,4,4,2,442,Loyal Customers
AH-6901,59,3,948.0,4,1,2,412,Others
AH-6902,601,2,869.0,1,1,2,112,Lost
AH-751,38,6,3426.0,4,3,4,434,Potential Loyalist
AH-752,269,1,137.0,2,1,1,211,At Risk
AH-753,567,1,45.0,1,1,1,111,Lost
AI-108551,309,4,1859.0,2,2,3,223,At Risk
AI-108552,86,7,2105.0,3,4,3,343,Potential Loyalist
